Experiment,  neurons, initialization_algorithm, batch, maximum_iter, error, time 
0, 200, 1, 0, 0, 14010790.468, 0.029
0, 200, 0, 32, 1, 21070383.775, 0.009
0, 200, 0, 32, 17, 21115102.113, 0.128
0, 200, 0, 64, 1, 21327447.452, 0.014
0, 200, 0, 64, 15, 21246747.017, 0.274
0, 1000, 1, 0, 0, 12650289.104, 0.609
0, 1000, 0, 32, 1, 21547867.577, 0.119
0, 1000, 0, 32, 21, 24618730.908, 2.064
0, 1000, 0, 64, 1, 27283660.445, 0.068
0, 1000, 0, 64, 21, 32021150.787, 1.346
0, 2000, 1, 0, 0, 13111234.205, 2.362
0, 2000, 0, 32, 1, 1224598334937347263140552769536.000, 0.134
0, 2000, 0, 32, 21, nan, 3.785
0, 2000, 0, 64, 1, 2823983194859027456.000, 0.096
0, 2000, 0, 64, 12, 204298231976264085629611610766425028379128474295980818895866546851082109368347669818146695090009490922983662493994325069469767251275483455272425357312.000, 1.563
1, 200, 1, 0, 0, 13063464.263, 0.028
1, 200, 0, 32, 1, 21023234.979, 0.009
1, 200, 0, 32, 14, 21413189.699, 0.103
1, 200, 0, 64, 1, 21489157.427, 0.014
1, 200, 0, 64, 21, 21215249.377, 0.293
1, 1000, 1, 0, 0, nan, 0.597
1, 1000, 0, 32, 1, 31850205.067, 0.155
1, 1000, 0, 32, 14, 30491322.741, 1.400
1, 1000, 0, 64, 1, 34337370.179, 0.074
1, 1000, 0, 64, 21, 29527808.907, 1.423
1, 2000, 1, 0, 0, 12918661.602, 2.327
1, 2000, 0, 32, 1, 883961361765394877507587538944.000, 0.230
1, 2000, 0, 32, 21, nan, 3.139
1, 2000, 0, 64, 1, 3454864450653073920.000, 0.106
1, 2000, 0, 64, 12, 288365656679142241874115714000325353071530371622314848179636782250137897771155303685257874163225932029138861597824016093406634755097735911430737100800.000, 1.236
2, 200, 1, 0, 0, 13163230.875, 0.030
2, 200, 0, 32, 1, 20992987.489, 0.008
2, 200, 0, 32, 21, 21071544.346, 0.155
2, 200, 0, 64, 1, 21747049.000, 0.017
2, 200, 0, 64, 17, 21023346.447, 0.250
2, 1000, 1, 0, 0, 21730904.183, 0.585
2, 1000, 0, 32, 1, 23848135.294, 0.108
2, 1000, 0, 32, 13, 24077184.073, 1.188
2, 1000, 0, 64, 1, 27890626.282, 0.069
2, 1000, 0, 64, 21, 33526885.834, 1.409
2, 2000, 1, 0, 0, 12372817.635, 2.309
2, 2000, 0, 32, 1, 494769187216500846825817767936.000, 0.160
2, 2000, 0, 32, 21, nan, 3.257
2, 2000, 0, 64, 1, 2909554554830159872.000, 0.094
2, 2000, 0, 64, 12, 268186672160220924052969612945099968226415936544604035074292631289199455982197274282123518923673286366639075197142584450373675244572030428691185008640.000, 1.605
3, 200, 1, 0, 0, 12827748.687, 0.030
3, 200, 0, 32, 1, 20457415.059, 0.008
3, 200, 0, 32, 13, 20997289.167, 0.097
3, 200, 0, 64, 1, 21577829.124, 0.013
3, 200, 0, 64, 14, 20263203.734, 0.213
3, 1000, 1, 0, 0, 12804465.184, 0.587
3, 1000, 0, 32, 1, 31739427.780, 0.097
3, 1000, 0, 32, 21, 30042342.433, 2.142
3, 1000, 0, 64, 1, 26445012.731, 0.074
3, 1000, 0, 64, 21, 33085809.699, 1.424
3, 2000, 1, 0, 0, 14193275.703, 2.313
3, 2000, 0, 32, 1, 512351669763725964464630005760.000, 0.160
3, 2000, 0, 32, 21, nan, 2.939
3, 2000, 0, 64, 1, 2915124907286806016.000, 0.094
3, 2000, 0, 64, 12, 278161939316749500801398369708792754186709967205504232064917628473553547866483351910901623282662253980741745781091799891420302710695298541088615170048.000, 1.128
4, 200, 1, 0, 0, 12848665.831, 0.028
4, 200, 0, 32, 1, 20747427.969, 0.008
4, 200, 0, 32, 16, 21432431.463, 0.118
4, 200, 0, 64, 1, 22055287.958, 0.014
4, 200, 0, 64, 21, 21008853.662, 0.299
4, 1000, 1, 0, 0, 13243088.499, 0.601
4, 1000, 0, 32, 1, 27233633.069, 0.099
4, 1000, 0, 32, 21, 26542895.917, 2.560
4, 1000, 0, 64, 1, 28309969.250, 0.058
4, 1000, 0, 64, 21, 29394834.157, 1.273
4, 2000, 1, 0, 0, 12753369.456, 2.319
4, 2000, 0, 32, 1, 1019330015104735207875814621184.000, 0.112
4, 2000, 0, 32, 21, nan, 2.848
4, 2000, 0, 64, 1, 2894200636760293888.000, 0.096
4, 2000, 0, 64, 12, 212974018401771565598516660286657004712314413008930810953016901294781534828656869017919913612435629903167341008195850404128169088569378893116263628800.000, 1.195
